Group                Keybinds                       Description
Qtile                [MOD] + [SHIFT] + r            Reload The Config
Qtile                [MOD] + [CTRL] + r             Restart Qtile
Moving               [MOD] + h                      Move Focus To Left
Moving               [MOD] + l                      Move Focus To Right
Moving               [MOD] + j                      Move Focus Down
Moving               [MOD] + k                      Move Focus Up
Reset                [MOD] + n                      Reset All Window Sizes
Toggle               [MOD] + Tab                    Toggle Between Layouts
Toggle               [MOD] + t                      Toggle Floating
Kill                 [MOD] + q                      Kill Focused Window
Kill                 [MOD] + [SHIFT] + q            Launch Kill Menu
Launch               [MOD] + Return                 Launch Terminal
Launch               [MOD] + m                      Launch Menu
Launch               [MOD] + p                      Launch Password Menu
Launch               [MOD] + s                      Launch Smart Menu
Launch               [MOD] + [CTRL] + f             Launch Browser
Launch               [MOD] + [CTRL] + c             Launch Editor
Launch               [MOD] + [SHIFT] + e            Launch Power Menu
Launch               [MOD] + [SHIFT] + Return       Launch Files
Keychord             [MOD] + r                      Resize Windows
Keychord             [MOD] + [CTRL] + g             Launch Game
Keychord             [MOD] + Print                  Take A Screenshot
